"","X","b1_11","b1_12","b1_6","b1_8","b10_12","b10_13","b10_14","b11_10","b11_12","b11_13","b11_6","b11_8","b12_11","b12_12","b12_13","b12_8","b13_12","b13_13","b13_8","b14_11","b14_12","b14_8","b15_10","b15_11","b15_12","b15_9","b16_11","b16_12","b16_4","b16_6","b16_8","b17_10","b17_11","b17_6","b17_7","b17_8","b17_9","b18_11","b18_12","b18_7","b18_8","b18_9","b19_11","b19_12","b19_13","b19_6","b19_8","b2_11","b2_13","b2_14","b2_6","b2_8","b20_12","b20_8","b21_10","b21_11","b21_12","b21_7","b21_8","b22_12","b22_13","b22_14","b23_10","b23_11","b23_12","b23_8","b23_9","b3_10","b3_11","b3_12","b4_11","b4_13","b4_14","b5_11","b5_13","b5_9","b6_11","b6_12","b6_13","b6_14","b6_7","b7_10","b7_11","b7_5","b7_6","b7_7","b8_10","b8_12","b9_10","b9_11","b9_12","b9_13","b9_14","b9_8","fd","P_value","P_value_adjust"
"1060","P08648_ITGA5",2655160,756432,1588590,3686300,9569630,172137,4405810,823176,3263110,2417790,1170250,9640390,3602110,2327950,3357270,241418,2231860,1236520,20072300,519208,611393,1886670,1644750,783789,809544,2205410,1438400,3901070,2419080,2579580,2391870,500596,10125500,382934,1981520,147898,13918000,2422010,3292760,22725200,21086400,999854.5,935572,2177610,1166690,2211020,15580900,10566900,2438150,612561,472034,898645,2745740,2950350,12408700,2429330,2198990,2110930,11156400,8948850,1072080,1172240,797776,1699210,3819190,4823400,2694280,18192500,541513,5228160,3064120,4492000,645284,3730420,1466290,6322410,6752160,1339450,2192030,3462010,120953,NA,3882350,4033850,17307100,20581300,3617580,3679280,1286750,4561380,3519810,1250910,672323,6897950,1.16911020591732,0.00226593361140759,0.012624189467051
"1140","P11047_LAMC1",4189160,3692500,21803400,33758500,36262900,10098700,5549790,2232650,15436200,8434370,4030720,28218800,4255850,4770230,7460640,9884710,6504970,11808100,25485000,2742670,4068020,10855200,8970380,7542600,4365590,14346700,4494170,20905200,2825170,7498770,4456370,3399170,7416910,2660950,3378910,9434900,10312055,9285830,8088370,31054300,35750400,5131385,5588370,4308190,5804020,2963360,48647800,35562200,26932600,16135100,2813020,6126170,4121750,8403170,12689300,3363700,3437860,20458500,11137900,10074000,4674880,2814930,4359670,2944180,5184560,4385820,12407200,11932300,1976630,13482800,17208200,9831740,2948630,5409840,5637690,18163250,11005600,5853570,3451480,21674800,5072900,1145570,3419750,4991040,9101250,47845600,3022230,2750080,2994000,5370620,11879800,28787800,16924500,17661700,0.807341314053919,0.00598703354484917,0.0259167084686251
"1163","P11532_DMD",177457,412616,702914,786042,2801000,839430,121807,118257,816703,19819.5,304977,1218330,NA,NA,164918,275928,414450,326604,2644390,NA,668945,439110,NA,350005,NA,117700,762097,878345,714028,345533,779565,NA,373821,338348,178729,270665,1157016.5,1987460,920240,3783830,4550930,NA,914346,629077,609144,138007,4624480,5047940,1017830,403055,572805,429245,342249,627194,919167,NA,190530,409542,1307660,1903330,297731,NA,340161,NA,481750,133998,361800,189034,NA,588058,1410810,403277,391129,NA,354702,560171.5,355712,503731,NA,263835,277280,NA,NA,761284,1783210,3973120,453801,NA,NA,NA,538932,299141,1094410,2819860,1.16206605081007,0.000960188191117592,0.00686528888477938
"1173","P12107_COL11A1",NA,451413,NA,3546140,380955,NA,NA,NA,NA,NA,NA,NA,73802,117934,264928,NA,183008,NA,NA,NA,NA,728011,NA,NA,NA,1144412.5,NA,142147,211738,762655,834384,NA,NA,NA,134602,NA,333907.5,NA,74461.3,NA,NA,139042,NA,NA,123767,11708600,NA,47682.2,270136,NA,NA,NA,NA,6185.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138898,131250.5,NA,NA,NA,NA,752082,NA,613070,NA,2064885,217671,470069,NA,NA,NA,NA,NA,2115640,NA,NA,98476.1,NA,NA,NA,421098,NA,38286.8,NA,2.53622679241308,0.0730519260147343,0.167007347657694
"1174","P12109_COL6A1",11068500,26856200,76683100,129809000,121576000,22968400,57445900,6315470,51271500,31658700,13684100,126510000,21093600,40599400,23353200,19881100,31444300,25039300,452519000,4630020,16442300,113748000,49903600,55489800,21233000,67837450,67901600,103284000,79554500,133562000,129250000,8907510,55393800,29559300,30281800,108050000,107352000,43951800,37447300,278171000,217055000,30626300,28819700,54527400,81356900,151422000,407786000,165859000,136043000,20833800,38856800,20249000,29179900,35135800,112503000,20292500,48540600,241308000,92731900,119950000,27718400,25540700,30533400,23161400,14169800,32497000,30044100,80301100,23772800,63514400,109994000,78882200,43767600,47829300,28933500,171784500,26923900,22925700,89085000,29162200,32027900,4947620,27349000,54390200,86686900,417355000,8260260,11792700,17583600,37210800,49873000,83022300,23048000,171632000,1.40169992204199,0.000177647845039942,0.00210535293456339
"1175","P12110_COL6A2",24217200,45823500,92549300,164902000,193989000,25473600,84252200,14463300,86549800,40567200,17741000,173194000,29021600,51827000,42350100,20418300,34571400,26336600,279099000,6066210,15728100,141054000,30953200,57465900,19263300,74191950,76233100,118787000,66083900,159224000,133775000,16811200,120197000,27243300,27523800,99701400,190846500,74044400,72520000,326564000,276347000,49428550,32019900,56431000,104303000,147843000,330997000,234439000,262449000,38341400,13915100,29234700,32291300,40178800,120366000,15187600,21197800,324893000,61277900,44146200,12968900,10912600,36740700,25356300,30078700,93390700,72325750,141375000,29468500,112689000,196827000,87326700,62296000,58600600,36935400,327447500,51502000,37714500,122164000,51791900,41321900,12837300,44454000,56708600,91178100,383998000,19805800,16115300,17544500,42371100,63735400,108490000,28723900,95722200,1.17179996000902,0.000169096136923097,0.00201583898662652
"1176","P12111_COL6A3",35108100,80233500,159828000,243671000,257375000,37005400,107205000,38304400,177253000,151556000,19210200,296933000,85495300,84856200,75154400,29970400,44113700,43778900,352013000,15248600,27093500,211156000,57979300,66108100,30820700,123182000,111768000,228292000,123525000,255262000,216034000,19226000,143017000,50610000,70015800,208403000,221284500,96852000,83717700,480634000,363315000,143287500,51049700,91200600,148272000,234476000,383881000,280667000,327944000,35716900,22634500,48918100,51250900,65717100,280636000,26524700,45639300,392144000,128555000,94612900,30014600,29353200,39373800,27361200,44415300,129108000,99039450,230298000,32401300,148482000,282701000,139421000,68012600,86408500,61298300,432568500,64078000,43326200,131349000,56918100,68640500,10958700,98824200,93944800,145292000,578433000,43641600,45883400,43129100,87280900,99783500,108114000,51370200,262064000,1.20507897708535,1.50864704216657e-05,0.00037139701168133
"1225","P13942_COL11A2",NA,NA,NA,720829,NA,615674,NA,1844330,667714,NA,864282,NA,NA,NA,720586,2512410,NA,147254,NA,NA,NA,9064740,NA,375828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104366,224885,NA,NA,NA,364152,NA,NA,NA,NA,NA,NA,942271,1607670,963120,161018,88572.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455673,466849,NA,NA,NA,NA,NA,NA,243775,802830.5,705846,102143,NA,425622,388450,NA,541575,206777,NA,NA,775006,NA,NA,NA,NA,NA,1262430,NA,1.41627001094958,0.160632274317536,0.293897230380986
"1238","P14543_NID1",6952090,6207830,7905780,25332700,52533500,5491110,3879740,3600270,21610600,15534000,2907860,33421200,5353590,2178200,7477690,4998530,2879490,4298490,47043300,1950190,2601940,11706700,5960970,4443720,2086200,8306835,4119710,19289500,5362300,14129700,6529990,1817030,5948410,2406790,3434730,3408270,13749830,5507850,7569780,110198000,87312500,5609190,4309610,5479780,6126000,2539270,85219900,20112100,12642500,8967600,3458970,4344070,3805100,6507980,15212000,2332560,3403970,22423300,54129500,12201000,2395180,2516230,3210230,862518,2129060,2919720,4994130,15989100,2575170,6730790,12676700,11429500,2147650,4169660,5167970,8635595,5638920,5533080,4629820,10135200,5128730,2146210,5161990,6097570,8176990,47673700,4605260,2851180,2864680,4482840,6657640,19386500,7906130,11284800,1.60426406458542,0.00229034372339749,0.0127017596967905
"1313","P17252_PRKCA",NA,742069,1571430,443774,291603,640855,36294.2,NA,NA,NA,232300,741869,28726.2,44026.5,251303,511104,459243,591082,515309,68743.7,NA,345802,NA,166399,NA,79419.2,600417,70356.1,632303,83120.6,411164,497314,NA,1645460,92743.2,NA,515499,180761,13816,2416560,1637840,NA,355376,311699,403650,60296.3,1566700,66212.3,282715,670864,640590,948855,500876,481700,264291,263599,35847.8,159286,382475,1437400,495108,395806,12928.9,1817270,NA,NA,NA,1178230,184647,391632,744708,1005650,117699,120172,308188,213211.45,620701,806145,586664,433271,1135520,NA,NA,980325,723887,1297450,NA,673338,NA,347096,607473,588686,716977,NA,0.549696572999722,0.0833707781481284,0.182733779393799
